,sentence_clean
0,goodbye friend goodbye dear
1,predestine farewell near
2,goodbye friend hand word
3,don t let sadness furrow brow
4,life die thing unheard
5,live new regret shed tear
6,like haze apple tree pass
7,turn gold m fade appear
8,having get know touch coolness
9,land birch tree oh goodness
10,vagrant s spirit
11,stir fire lip day
12,oh freshness begin soften
13,oh lost emotion vehement gaze
14,presently feel yearning
15,oh life sleep fast
16,feel like early morning
17,rosy horse ve gallop past
18,perish hope favour
19,golden leave flow turn grey
20,come bloom pass away don t love don t pity
21,look face tremble passion
22,young sensual smile
23,m tender rude
24,hand remember lip
25,know ve pass like shadow
26,eye half closed
27,drown faraway memory
28,don t love
29,don t ardor fate
30,shallow fiery liaison
31,ll continue path
32,burn joyless day
33,don t touch unkissed
34,don t lure unburned
35,alley chatting love
36,turn shoulder close
37,head little bowed
38,quietly good evening
39,answer good evening miss
40,burn set fire force smile girl tensely like
41,suppose know know
42,see want stop stare look reproachfully
43,like appearance awfully
44,fox pretend depart
45,catch crow like want catch
46,try catch wo daunt
47,mind ardour restrained
48,girl kind haunt
49,stumble heart wane
50,imagine different girlie
51,oh beautiful blue eyed maid
52,majestic manner walk
53,rekindle depth soul
54,heart embellish lie
55,scorn like layman
56,man think sad look love
57,tint willow september
58,somebody lip outwear
59,warmth body trepidation
60,soul stiffen congestion
61,brown dust grizzly colour
62,funny life funny split
63,grove birch tree bone
64,fade like caller garden
65,winter flower bloom
66,woe settle misty heart
67,m villain haven t rob forest
68,haven t shoot wretch dungeon
69,m merely street rake
70,smile pass face
71,m mischievous moscow playboy
72,tver neighborhood dog
73,recognize breezy gait
74,nod head greet
75,m good friend animal
76,hat impress woman
77,heart t bear meaningless passion
78,make easy soothe sadness
79,gold oat mare
80,m loyal different kingdom
81,m ready good tie
82,neck local hound
83,win t hurt long
84,swamp drain murky heart
85,m know charlatan
86,m know brawler golden birch tree grove fall silent
87,merry chatter having stop afore
88,crane fly sullen
89,come go leave good
90,moon hempen bush water
91,remember perish fill pain
92,crane wind take away
93,think boyhood fly
94,regret day discard
95,feel sorry lilac soul
96,purple rowan burn garden
97,rowan maintain coloration
98,grass expose heat decease
99,drop word sorrow vexation
100,way tree drop quietly leave
101,day wind time intend
102,rake useless roll
103,ought golden grove end
104,lovely chatter prime fall pearly droplet beautiful droplet
105,lovely golden ray
106,sad inclement droplet
107,wet window black autumn
108,people live merry oblivion
109,grand appear eye
110,pitiful dark decline
111,consolation world living
112,autumn droplet sadness
113,inspire heavy soul
114,quietly slide glass meandering
115,wretched people undo life
116,pain live day
117,bygone time forget maple leave maple cover ice
118,stand slump white blizzard
119,s ve go walk outside village
120,like drunken guard road
121,tumble snowdrift freeze leg
122,ah day m steady
123,head drink friend win t reach home
124,meet willow meet pine
125,howl blizzard sing song summer
126,completely green leafless
127,sheet wind lose decorum
128,hug birch man s wife forget dearie
129,rustle birch night
130,moonlight long bright
131,whisper word ear
132,year dream go
133,lime stand flower
134,remind emotion anew
135,way tenderly shower
136,heart warm sad sorry
137,friend fanciful story
138,love girl yes remember
139,walk fro chamber
140,time new life start
141,like ruin horse amidst crowd
142,spur dash rider flash
143,life turn wholly upside
144,misery downhearte break
145,step well observation
146,ocean boil wail
147,ship sorry situation
148,search well life glory
149,turn gracefully take chance
150,hub storm flurry
151,board mighty boat
152,brawl barfed fall
153,loud hue cry
154,away scene spew
155,  hold russian pub
156,drink listen loud bicker
157,try stop worry
158,tired eye reveal dejection
159,spend life altercation
160,feel new idea
161,long live steer
162,seize tender feeling
163,recall wistfulness happy
164,tell straight know
165,escape bad descent '
166,today soviet land
167,staunch supporter defender
168,follow labour feel free
169,far english channel
170,need fuss pledge
171,lead lucky star
172,sergey yesenin amusement leave
173,finger mouth merry whistle
174,ve acquire ill fame
175,hustler scandal monger
176,ah funny loss
177,funny loss life
178,m ashamed believe god
179,m bitter don t
180,golden faraway distance
181,bleakness life burn
182,gift poet caress scratch
183,bear fateful stamp
184,want marry white rose
185,black toad earth
186,rise color plan
187,didn t pan didn t come true
188,demon nest soul
189,mean angel live
190,s joy chaos
191,lack belief grace
192,lay russian shirt
